dataset,model,alpha_precision,beta_recall,c2st_logistic_detection
adult,tabsyn,0.905882112073378,0.3868312757201645,0.7796862063664528
default,tabsyn,0.9826567049808429,0.4334888888888888,0.9484113333333334
shoppers,tabsyn,0.8795350094620168,0.45271695052716965,0.7117844041494743
magic,tabsyn,0.8208902909218366,0.4291973361373993,0.8268682807736835
beijing,tabsyn,0.9801085568326947,0.35659323116219666,0.8999196971198309
