dataset,model,alpha_precision,beta_recall,c2st_logistic_detection
adult,tabsyn,0.9235837274532686,0.38261368056835166,0.8090111764449369
default,tabsyn,0.9745961685823755,0.4301111111111111,0.9776613333333334
shoppers,tabsyn,0.8832657474993242,0.4502297918356314,0.6918342499353742
magic,tabsyn,0.9772737711060347,0.4092534174553102,0.9887466953265199
beijing,tabsyn,0.9791347381864624,0.3099616858237547,0.8641942049808429
