dataset,model,alpha_precision,beta_recall,c2st_logistic_detection
adult,tabsyn,0.9483774542923243,0.3901644043158693,0.8081702242743972
default,tabsyn,0.9816283524904215,0.4155333333333334,0.9049313333333334
shoppers,tabsyn,0.9137604758042714,0.4395782643957826,0.7548499002492289
magic,tabsyn,0.9529267437784787,0.44023834560112174,0.9976863139249073
beijing,tabsyn,0.9832056194125159,0.3014527458492976,0.7679611463425375
