,Length,Width,Size,Conc,Conc1,Asym,M3Long,M3Trans,Alpha,Dist,class
Length,0.0,0.016023427362030107,0.0023592253000848107,0.003800165137592515,0.00940993115514055,0.07898036361388028,0.06588022171405261,0.05224692614090598,0.02085575536655604,0.0588399357496332,0.08654330176548952
Width,0.016023427362030107,0.0,0.026681088740037606,0.019059410124139142,0.00818060196463466,0.05547797619399175,0.07981384270590197,0.08175940994331865,0.031876356732180366,0.04169184429821138,0.04381306914995209
Size,0.0023592253000848107,0.026681088740037606,0.0,0.052187397077021025,0.02065641444127242,0.00961736611905617,0.0008518487767327221,0.03689437193740408,0.0437207001630443,0.05278769159044672,0.09925034582681236
Conc,0.003800165137592515,0.019059410124139142,0.052187397077021025,0.0,0.05965626603623431,0.0030071965582486593,0.0034091016630227733,0.02554586935180503,0.053028803632135246,0.014656486466441354,0.09420235800134047
Conc1,0.00940993115514055,0.00818060196463466,0.02065641444127242,0.05965626603623431,0.0,0.0021041389269820243,0.011249540624284848,0.027046795437173476,0.044015015266649304,0.010122613647018164,0.04744573185155965
Asym,0.07898036361388028,0.05547797619399175,0.00961736611905617,0.0030071965582486593,0.0021041389269820243,0.0,0.15196992250049046,0.007830073102925716,0.03759961928324984,0.058411809451478724,0.04655263882849081
M3Long,0.06588022171405261,0.07981384270590197,0.0008518487767327221,0.0034091016630227733,0.011249540624284848,0.15196992250049046,0.0,0.03864355947873599,0.06811289879325733,0.01867709572323739,0.0684523124303581
M3Trans,0.05224692614090598,0.08175940994331865,0.03689437193740408,0.02554586935180503,0.027046795437173476,0.007830073102925716,0.03864355947873599,0.0,0.017955498342988596,0.007957185528152944,0.037160718740194
Alpha,0.02085575536655604,0.031876356732180366,0.0437207001630443,0.053028803632135246,0.044015015266649304,0.03759961928324984,0.06811289879325733,0.017955498342988596,0.0,0.07795487620948116,0.1634461535174505
Dist,0.0588399357496332,0.04169184429821138,0.05278769159044672,0.014656486466441354,0.010122613647018164,0.058411809451478724,0.01867709572323739,0.007957185528152944,0.07795487620948116,0.0,0.06733119565671852
class,0.08654330176548952,0.04381306914995209,0.09925034582681236,0.09420235800134047,0.04744573185155965,0.04655263882849081,0.0684523124303581,0.037160718740194,0.1634461535174505,0.06733119565671852,0.0
