column,metric,model,mean,std
age,MeanAbsoluteError,catboost,0.57194085,0.00542813
age,MeanAbsoluteError,regression,0.7315067,0.00685891
age,MeanSquaredError,catboost,0.73266863,0.00804027
age,MeanSquaredError,regression,0.91878614,0.00998252
capital-gain,MeanAbsoluteError,catboost,0.23063521,0.01099753
capital-gain,MeanAbsoluteError,regression,0.26528981,0.01085208
capital-gain,MeanSquaredError,catboost,0.93677755,0.06267923
capital-gain,MeanSquaredError,regression,0.94233896,0.07802939
capital-loss,MeanAbsoluteError,catboost,0.39365495,0.01216717
capital-loss,MeanAbsoluteError,regression,0.39662018,0.00989989
capital-loss,MeanSquaredError,catboost,0.95196588,0.02796559
capital-loss,MeanSquaredError,regression,0.9613023,0.02462791
education,MulticlassAUROC,catboost,1.0,0.0
education,MulticlassAUROC,regression,0.96396188,0.00115105
education,MulticlassAccuracy,catboost,1.0,0.0
education,MulticlassAccuracy,regression,0.24645735,0.00546281
education,MulticlassF1Score,catboost,1.0,0.0
education,MulticlassF1Score,regression,0.23405433,0.00597624
education,MulticlassPrecision,catboost,1.0,0.0
education,MulticlassPrecision,regression,0.28066745,0.01187811
education,MulticlassRecall,catboost,1.0,0.0
education,MulticlassRecall,regression,0.24668334,0.00537116
education-num,MeanAbsoluteError,catboost,0.01626115,0.00026559
education-num,MeanAbsoluteError,regression,0.69178671,0.00626471
education-num,MeanSquaredError,catboost,0.02808794,0.00065459
education-num,MeanSquaredError,regression,0.8754173,0.00661864
fnlwgt,MeanAbsoluteError,catboost,0.71613642,0.00907312
fnlwgt,MeanAbsoluteError,regression,0.73082212,0.0080576
fnlwgt,MeanSquaredError,catboost,0.97847546,0.02194574
fnlwgt,MeanSquaredError,regression,1.00203646,0.02109644
hours-per-week,MeanAbsoluteError,catboost,0.60627464,0.00875785
hours-per-week,MeanAbsoluteError,regression,0.66329704,0.008033
hours-per-week,MeanSquaredError,catboost,0.89706321,0.0145027
hours-per-week,MeanSquaredError,regression,0.97180964,0.01525692
income,MulticlassAUROC,catboost,0.91444676,0.00380853
income,MulticlassAUROC,regression,0.85395253,0.0053094
income,MulticlassAccuracy,catboost,0.76899133,0.00601247
income,MulticlassAccuracy,regression,0.69102028,0.00677032
income,MulticlassF1Score,catboost,0.79320107,0.00605588
income,MulticlassF1Score,regression,0.71501405,0.00644386
income,MulticlassPrecision,catboost,0.83278444,0.00707632
income,MulticlassPrecision,regression,0.77119943,0.00779539
income,MulticlassRecall,catboost,0.76898071,0.00747079
income,MulticlassRecall,regression,0.6899553,0.00639045
marital-status,MulticlassAUROC,catboost,0.88400709,0.02452569
marital-status,MulticlassAUROC,regression,0.79216913,0.03290898
marital-status,MulticlassAccuracy,catboost,0.42490098,0.01388992
marital-status,MulticlassAccuracy,regression,0.33203475,0.00938753
marital-status,MulticlassF1Score,catboost,0.42034535,0.00529793
marital-status,MulticlassF1Score,regression,0.34105269,0.00956008
marital-status,MulticlassPrecision,catboost,0.43024329,0.01571697
marital-status,MulticlassPrecision,regression,0.36361349,0.00891856
marital-status,MulticlassRecall,catboost,0.4265645,0.01626973
marital-status,MulticlassRecall,regression,0.33258644,0.01027345
native-country,MulticlassAUROC,catboost,0.77010865,0.01847656
native-country,MulticlassAUROC,regression,0.74267195,0.01834294
native-country,MulticlassAccuracy,catboost,0.0477568,0.00361014
native-country,MulticlassAccuracy,regression,0.03190532,0.0018205
native-country,MulticlassF1Score,catboost,0.05138341,0.00379813
native-country,MulticlassF1Score,regression,0.03435912,0.00295763
native-country,MulticlassPrecision,catboost,0.05941335,0.00798917
native-country,MulticlassPrecision,regression,0.04530216,0.00676045
native-country,MulticlassRecall,catboost,0.0470859,0.00380458
native-country,MulticlassRecall,regression,0.03147443,0.00177604
occupation,MulticlassAUROC,catboost,0.81247289,0.02394137
occupation,MulticlassAUROC,regression,0.76889454,0.0241306
occupation,MulticlassAccuracy,catboost,0.23271043,0.00840941
occupation,MulticlassAccuracy,regression,0.18908503,0.00624518
occupation,MulticlassF1Score,catboost,0.21053195,0.00675323
occupation,MulticlassF1Score,regression,0.16054724,0.00633357
occupation,MulticlassPrecision,catboost,0.2668264,0.01306332
occupation,MulticlassPrecision,regression,0.17739251,0.0098373
occupation,MulticlassRecall,catboost,0.23277155,0.00630597
occupation,MulticlassRecall,regression,0.18835881,0.00578281
race,MulticlassAUROC,catboost,0.79104315,0.01128004
race,MulticlassAUROC,regression,0.72663149,0.01035484
race,MulticlassAccuracy,catboost,0.31477254,0.00720888
race,MulticlassAccuracy,regression,0.20433152,0.00205076
race,MulticlassF1Score,catboost,0.32705768,0.00687896
race,MulticlassF1Score,regression,0.1940316,0.00362295
race,MulticlassPrecision,catboost,0.43359782,0.01935115
race,MulticlassPrecision,regression,0.33981658,0.0527974
race,MulticlassRecall,catboost,0.31484613,0.0066935
race,MulticlassRecall,regression,0.20472135,0.00207057
relationship,MulticlassAUROC,catboost,0.92707034,0.00256819
relationship,MulticlassAUROC,regression,0.8533907,0.00371175
relationship,MulticlassAccuracy,catboost,0.64219506,0.00509536
relationship,MulticlassAccuracy,regression,0.48583638,0.00641119
relationship,MulticlassF1Score,catboost,0.63556243,0.00486134
relationship,MulticlassF1Score,regression,0.49173769,0.00773186
relationship,MulticlassPrecision,catboost,0.63371991,0.00521005
relationship,MulticlassPrecision,regression,0.57334112,0.02724296
relationship,MulticlassRecall,catboost,0.64233363,0.00421065
relationship,MulticlassRecall,regression,0.48661004,0.00670424
sex,MulticlassAUROC,catboost,0.92747224,0.00332752
sex,MulticlassAUROC,regression,0.86217078,0.00480059
sex,MulticlassAccuracy,catboost,0.82790909,0.00515791
sex,MulticlassAccuracy,regression,0.73054281,0.00629619
sex,MulticlassF1Score,catboost,0.8194073,0.00447032
sex,MulticlassF1Score,regression,0.73426428,0.00576365
sex,MulticlassPrecision,catboost,0.81375488,0.00515026
sex,MulticlassPrecision,regression,0.7378744,0.00578743
sex,MulticlassRecall,catboost,0.82874065,0.00483017
sex,MulticlassRecall,regression,0.72970638,0.0057014
workclass,MulticlassAUROC,catboost,0.78099162,0.0676735
workclass,MulticlassAUROC,regression,0.70364738,0.06457466
workclass,MulticlassAccuracy,catboost,0.17172014,0.01220307
workclass,MulticlassAccuracy,regression,0.13575985,0.00958489
workclass,MulticlassF1Score,catboost,0.18263265,0.01660093
workclass,MulticlassF1Score,regression,0.12128487,0.0098076
workclass,MulticlassPrecision,catboost,0.26366486,0.02184688
workclass,MulticlassPrecision,regression,0.24970086,0.06246496
workclass,MulticlassRecall,catboost,0.17002334,0.01219452
workclass,MulticlassRecall,regression,0.13427991,0.01007105
